"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"ru.sbt.benchmark.TestCounters.incAtomic","thrpt",2,7,55413.761149,11980.697772,"ops/ms"
"ru.sbt.benchmark.TestCounters.incAtomic1","thrpt",4,7,33215.307367,1436.794746,"ops/ms"
"ru.sbt.benchmark.TestCounters.incAtomic2","thrpt",8,7,31183.076364,398.850906,"ops/ms"
"ru.sbt.benchmark.TestCounters.incAtomic3","thrpt",16,7,31389.629083,594.438510,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSem","thrpt",2,7,229.875123,52.248940,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSem1","thrpt",4,7,193.345785,11.001031,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSem2","thrpt",8,7,172.750351,24.638369,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSem3","thrpt",16,7,172.239346,7.474192,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSync","thrpt",2,7,36961.741952,10603.693432,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSync1","thrpt",4,7,25790.663736,27.602541,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSync2","thrpt",8,7,23175.283586,219.456603,"ops/ms"
"ru.sbt.benchmark.TestCounters.incSync3","thrpt",16,7,23002.084943,454.590504,"ops/ms"
